Subject,Mutant,Failed TCs,Total Probes,Top Condition,Max Suspicion,Status,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
totinfo,v21,90,2,c2,0.5486,ACCEPTED,0.5364,0.5486,,,,,,,,,,,,,,,
totinfo,v22,23,2,c2,0.5651,ACCEPTED,0.5532,0.5651,,,,,,,,,,,,,,,
totinfo,v23,71,2,c2,0.5687,ACCEPTED,0.5561,0.5687,,,,,,,,,,,,,,,
totinfo,v3,2,2,c1,0.0,ACCEPTED,0.0,0.0,,,,,,,,,,,,,,,
totinfo,v4,33,2,c2,0.5658,ACCEPTED,0.5538,0.5658,,,,,,,,,,,,,,,
totinfo,v5,29,2,c2,0.5655,ACCEPTED,0.5536,0.5655,,,,,,,,,,,,,,,
totinfo,v6,41,2,c2,0.4615,ACCEPTED,0.4493,0.4615,,,,,,,,,,,,,,,
totinfo,v7,123,2,c2,0.5731,ACCEPTED,0.5596,0.5731,,,,,,,,,,,,,,,
totinfo,v8,199,2,c2,0.5807,ACCEPTED,0.5656,0.5807,,,,,,,,,,,,,,,
totinfo,v9,37,2,c2,0.5661,ACCEPTED,0.554,0.5661,,,,,,,,,,,,,,,
